repo_name	num_forks	num_contributors	total_contributions	num_stars	health_percentage
opencasestudies/ocs-bp-school-shootings-dashboard	NA	6	121	0	12
opencasestudies/ocs-bp-youth-disconnection	2	7	122	0	25
opencasestudies/ocs-bp-opioid-rural-urban	3	7	81	2	12
opencasestudies/ocs-bp-vaping-case-study	1	7	143	3	12
opencasestudies/ocs-bp-youth-mental-health	NA	8	98	0	12
opencasestudies/ocs-bp-rural-and-urban-obesity	5	8	172	3	25
opencasestudies/ocs-bp-RTC-wrangling	NA	2	44	0	12
opencasestudies/ocs-bp-RTC-analysis	3	6	71	2	12
opencasestudies/ocs-bp-co2-emissions	5	6	100	0	12
opencasestudies/ocs-bp-diet	1	6	72	2	12
opencasestudies/ocs-bp-air-pollution	5	5	112	3	12
opencasestudies/ocs-healthexpenditure	9	5	46	7	25
opencasestudies/OCS_Guide	2	7	645	2	75
opencasestudies/ocs-bp-template	NA	2	16	0	12
