repo_name	repo	timestamp	count_clones	uniques_clones	count_views	uniques_views
opencasestudies/ocs-bp-school-shootings-dashboard	opencasestudies/ocs-bp-school-shootings-dashboard	2025-04-25	1	1	NA	NA
opencasestudies/ocs-bp-school-shootings-dashboard	opencasestudies/ocs-bp-school-shootings-dashboard	2025-04-21	NA	NA	11	1
opencasestudies/ocs-bp-school-shootings-dashboard	opencasestudies/ocs-bp-school-shootings-dashboard	2025-04-22	NA	NA	2	2
opencasestudies/ocs-bp-school-shootings-dashboard	opencasestudies/ocs-bp-school-shootings-dashboard	2025-04-23	NA	NA	1	1
opencasestudies/ocs-bp-school-shootings-dashboard	opencasestudies/ocs-bp-school-shootings-dashboard	2025-04-24	NA	NA	1	1
opencasestudies/ocs-bp-school-shootings-dashboard	opencasestudies/ocs-bp-school-shootings-dashboard	2025-04-26	NA	NA	1	1
opencasestudies/ocs-bp-school-shootings-dashboard	opencasestudies/ocs-bp-school-shootings-dashboard	2025-04-29	NA	NA	1	1
opencasestudies/ocs-bp-school-shootings-dashboard	opencasestudies/ocs-bp-school-shootings-dashboard	2025-04-30	NA	NA	1	1
opencasestudies/ocs-bp-youth-disconnection	opencasestudies/ocs-bp-youth-disconnection	2025-04-24	1	1	NA	NA
opencasestudies/ocs-bp-youth-disconnection	opencasestudies/ocs-bp-youth-disconnection	2025-04-25	NA	NA	3	1
opencasestudies/ocs-bp-youth-disconnection	opencasestudies/ocs-bp-youth-disconnection	2025-05-02	NA	NA	1	1
opencasestudies/ocs-bp-opioid-rural-urban	opencasestudies/ocs-bp-opioid-rural-urban	2025-04-27	1	1	NA	NA
opencasestudies/ocs-bp-opioid-rural-urban	opencasestudies/ocs-bp-opioid-rural-urban	2025-04-29	2	2	NA	NA
opencasestudies/ocs-bp-opioid-rural-urban	opencasestudies/ocs-bp-opioid-rural-urban	2025-05-01	1	1	1	1
opencasestudies/ocs-bp-opioid-rural-urban	opencasestudies/ocs-bp-opioid-rural-urban	2025-05-03	1	1	NA	NA
opencasestudies/ocs-bp-opioid-rural-urban	opencasestudies/ocs-bp-opioid-rural-urban	2025-04-26	NA	NA	1	1
opencasestudies/ocs-bp-vaping-case-study	opencasestudies/ocs-bp-vaping-case-study	2025-04-27	2	2	NA	NA
opencasestudies/ocs-bp-vaping-case-study	opencasestudies/ocs-bp-vaping-case-study	2025-04-28	1	1	NA	NA
opencasestudies/ocs-bp-vaping-case-study	opencasestudies/ocs-bp-vaping-case-study	2025-05-02	1	1	21	1
opencasestudies/ocs-bp-vaping-case-study	opencasestudies/ocs-bp-vaping-case-study	2025-04-21	NA	NA	4	1
opencasestudies/ocs-bp-vaping-case-study	opencasestudies/ocs-bp-vaping-case-study	2025-04-23	NA	NA	2	2
opencasestudies/ocs-bp-vaping-case-study	opencasestudies/ocs-bp-vaping-case-study	2025-04-26	NA	NA	1	1
opencasestudies/ocs-bp-vaping-case-study	opencasestudies/ocs-bp-vaping-case-study	2025-04-29	NA	NA	1	1
opencasestudies/ocs-bp-vaping-case-study	opencasestudies/ocs-bp-vaping-case-study	2025-05-01	NA	NA	2	2
opencasestudies/ocs-bp-youth-mental-health	opencasestudies/ocs-bp-youth-mental-health	NA	0	0	NA	NA
opencasestudies/ocs-bp-youth-mental-health	opencasestudies/ocs-bp-youth-mental-health	2025-04-22	NA	NA	1	1
opencasestudies/ocs-bp-youth-mental-health	opencasestudies/ocs-bp-youth-mental-health	2025-04-25	NA	NA	1	1
opencasestudies/ocs-bp-youth-mental-health	opencasestudies/ocs-bp-youth-mental-health	2025-04-26	NA	NA	1	1
opencasestudies/ocs-bp-youth-mental-health	opencasestudies/ocs-bp-youth-mental-health	2025-05-01	NA	NA	2	1
opencasestudies/ocs-bp-youth-mental-health	opencasestudies/ocs-bp-youth-mental-health	2025-05-02	NA	NA	2	2
opencasestudies/ocs-bp-rural-and-urban-obesity	opencasestudies/ocs-bp-rural-and-urban-obesity	2025-04-21	1	1	NA	NA
opencasestudies/ocs-bp-rural-and-urban-obesity	opencasestudies/ocs-bp-rural-and-urban-obesity	2025-04-23	1	1	NA	NA
opencasestudies/ocs-bp-rural-and-urban-obesity	opencasestudies/ocs-bp-rural-and-urban-obesity	2025-05-02	1	1	2	2
opencasestudies/ocs-bp-rural-and-urban-obesity	opencasestudies/ocs-bp-rural-and-urban-obesity	2025-04-26	NA	NA	1	1
opencasestudies/ocs-bp-rural-and-urban-obesity	opencasestudies/ocs-bp-rural-and-urban-obesity	2025-04-28	NA	NA	4	1
opencasestudies/ocs-bp-rural-and-urban-obesity	opencasestudies/ocs-bp-rural-and-urban-obesity	2025-04-29	NA	NA	1	1
opencasestudies/ocs-bp-rural-and-urban-obesity	opencasestudies/ocs-bp-rural-and-urban-obesity	2025-04-30	NA	NA	1	1
opencasestudies/ocs-bp-RTC-wrangling	opencasestudies/ocs-bp-RTC-wrangling	2025-05-01	1	1	NA	NA
opencasestudies/ocs-bp-RTC-wrangling	opencasestudies/ocs-bp-RTC-wrangling	2025-05-02	1	1	NA	NA
opencasestudies/ocs-bp-RTC-wrangling	opencasestudies/ocs-bp-RTC-wrangling	2025-04-23	NA	NA	1	1
opencasestudies/ocs-bp-RTC-analysis	opencasestudies/ocs-bp-RTC-analysis	2025-05-03	1	1	NA	NA
opencasestudies/ocs-bp-RTC-analysis	opencasestudies/ocs-bp-RTC-analysis	2025-04-21	NA	NA	1	1
opencasestudies/ocs-bp-RTC-analysis	opencasestudies/ocs-bp-RTC-analysis	2025-04-23	NA	NA	1	1
opencasestudies/ocs-bp-RTC-analysis	opencasestudies/ocs-bp-RTC-analysis	2025-04-26	NA	NA	1	1
opencasestudies/ocs-bp-co2-emissions	opencasestudies/ocs-bp-co2-emissions	2025-04-28	1	1	NA	NA
opencasestudies/ocs-bp-co2-emissions	opencasestudies/ocs-bp-co2-emissions	2025-05-03	1	1	NA	NA
opencasestudies/ocs-bp-co2-emissions	opencasestudies/ocs-bp-co2-emissions	2025-04-20	NA	NA	1	1
opencasestudies/ocs-bp-co2-emissions	opencasestudies/ocs-bp-co2-emissions	2025-04-26	NA	NA	1	1
opencasestudies/ocs-bp-co2-emissions	opencasestudies/ocs-bp-co2-emissions	2025-04-27	NA	NA	1	1
opencasestudies/ocs-bp-co2-emissions	opencasestudies/ocs-bp-co2-emissions	2025-05-02	NA	NA	2	1
FredHutch/ocs-bp-co2-emissions-interactive	FredHutch/ocs-bp-co2-emissions-interactive	2025-04-23	1	1	NA	NA
FredHutch/ocs-bp-co2-emissions-interactive	FredHutch/ocs-bp-co2-emissions-interactive	NA	NA	NA	0	0
opencasestudies/ocs-bp-diet	opencasestudies/ocs-bp-diet	2025-05-02	1	1	NA	NA
opencasestudies/ocs-bp-diet	opencasestudies/ocs-bp-diet	2025-04-22	NA	NA	9	2
opencasestudies/ocs-bp-diet	opencasestudies/ocs-bp-diet	2025-04-23	NA	NA	1	1
opencasestudies/ocs-bp-diet	opencasestudies/ocs-bp-diet	2025-04-24	NA	NA	1	1
opencasestudies/ocs-bp-diet	opencasestudies/ocs-bp-diet	2025-04-26	NA	NA	2	2
opencasestudies/ocs-bp-diet	opencasestudies/ocs-bp-diet	2025-05-03	NA	NA	1	1
opencasestudies/ocs-bp-air-pollution	opencasestudies/ocs-bp-air-pollution	2025-05-01	1	1	NA	NA
opencasestudies/ocs-bp-air-pollution	opencasestudies/ocs-bp-air-pollution	2025-05-02	5	5	NA	NA
opencasestudies/ocs-bp-air-pollution	opencasestudies/ocs-bp-air-pollution	2025-04-21	NA	NA	1	1
opencasestudies/ocs-bp-air-pollution	opencasestudies/ocs-bp-air-pollution	2025-04-22	NA	NA	6	2
opencasestudies/ocs-bp-air-pollution	opencasestudies/ocs-bp-air-pollution	2025-04-23	NA	NA	1	1
opencasestudies/ocs-bp-air-pollution	opencasestudies/ocs-bp-air-pollution	2025-04-25	NA	NA	2	2
opencasestudies/ocs-bp-air-pollution	opencasestudies/ocs-bp-air-pollution	2025-04-26	NA	NA	1	1
opencasestudies/ocs-bp-air-pollution	opencasestudies/ocs-bp-air-pollution	2025-04-30	NA	NA	7	2
opencasestudies/ocs-bp-air-pollution	opencasestudies/ocs-bp-air-pollution	2025-05-03	NA	NA	1	1
opencasestudies/ocs-healthexpenditure	opencasestudies/ocs-healthexpenditure	2025-05-01	1	1	NA	NA
opencasestudies/ocs-healthexpenditure	opencasestudies/ocs-healthexpenditure	2025-05-03	1	1	5	4
opencasestudies/ocs-healthexpenditure	opencasestudies/ocs-healthexpenditure	2025-04-21	NA	NA	6	2
opencasestudies/ocs-healthexpenditure	opencasestudies/ocs-healthexpenditure	2025-04-23	NA	NA	1	1
opencasestudies/ocs-healthexpenditure	opencasestudies/ocs-healthexpenditure	2025-04-24	NA	NA	7	1
opencasestudies/ocs-healthexpenditure	opencasestudies/ocs-healthexpenditure	2025-04-25	NA	NA	4	1
opencasestudies/ocs-healthexpenditure	opencasestudies/ocs-healthexpenditure	2025-04-30	NA	NA	3	1
opencasestudies/ocs-healthexpenditure	opencasestudies/ocs-healthexpenditure	2025-05-02	NA	NA	1	1
opencasestudies/OCS_Guide	opencasestudies/OCS_Guide	2025-04-23	1	1	NA	NA
opencasestudies/OCS_Guide	opencasestudies/OCS_Guide	2025-04-24	1	1	NA	NA
opencasestudies/OCS_Guide	opencasestudies/OCS_Guide	2025-05-01	1	1	NA	NA
opencasestudies/OCS_Guide	opencasestudies/OCS_Guide	2025-05-03	NA	NA	1	1
opencasestudies/ocs-bp-template	opencasestudies/ocs-bp-template	2025-05-03	1	1	NA	NA
opencasestudies/ocs-bp-template	opencasestudies/ocs-bp-template	NA	NA	NA	0	0
