original_paper	cite_titles	links
Open Case Studies: Statistics and Data Science Education through Real-World Applications	[HTML][HTML] Contributions to Studying the Quality of Life in Inner Urban Environments Through the Publication of Open Data	https://www.mdpi.com/2413-8851/9/6/209
Open Case Studies: Statistics and Data Science Education through Real-World Applications	Developing a Data Literacy and Visualization Service Learning Course that Fulfills Undergraduate Quantitative Literacy Requirements	https://www.tandfonline.com/doi/abs/10.1080/26939169.2025.2526622
Open Case Studies: Statistics and Data Science Education through Real-World Applications	[HTML][HTML] Ten simple rules for teaching an introduction to R	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1012018
Open Case Studies: Statistics and Data Science Education through Real-World Applications	[HTML][HTML] Motivation, inclusivity, and realism should drive data science education	https://pmc.ncbi.nlm.nih.gov/articles/PMC11101914/
Open Case Studies: Statistics and Data Science Education through Real-World Applications	Enhancing Medical Education Through Statistics: Bridging Quantitative Literacy and Sports Supplementation Research for Improved Clinical Practice	https://www.mdpi.com/2072-6643/17/15/2463
Open Case Studies: Statistics and Data Science Education through Real-World Applications	Integrating Real-World Authenticity into a High School Data Science Curriculum	https://repository.isls.org/handle/1/11527
Open Case Studies: Statistics and Data Science Education through Real-World Applications	[PDF][PDF] El impacto del uso de la analítica de datos en los criterios de decisión para la resolución de casos académicos	https://www.researchgate.net/profile/Jorge-Alvarez-31/publication/388615454_El_impacto_del_uso_de_la_analitica_de_datos_en_los_criterios_de_decision_para_la_resolucion_de_casos_academicos_The_impact_of_the_use_of_data_analytics_on_the_decision_criteria_for_the_resolution_of_a/links/679ecb9a96e7fb48b9ae9b31/El-impacto-del-uso-de-la-analitica-de-datos-en-los-criterios-de-decision-para-la-resolucion-de-casos-academicos-The-impact-of-the-use-of-data-analytics-on-the-decision-criteria-for-the-resolution-of-a.pdf
Motivation, inclusivity, and realism should drive data science education	[HTML][HTML] Competency Learning by Machine Learning-Based Data Analysis with Electroencephalography Signals	https://www.mdpi.com/2227-7102/15/8/957
Motivation, inclusivity, and realism should drive data science education	[HTML][HTML] Ten simple rules for teaching an introduction to R	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1012018
Motivation, inclusivity, and realism should drive data science education	Interactive and More Practical Approaches to Contact Sessions	https://link.springer.com/chapter/10.1007/978-981-96-0201-8_12
Expanding access and removing barriers: Data science education with the open case studies...	Open Case Studies: Statistics and Data Science Education through Real-World Applications	https://www.tandfonline.com/doi/abs/10.1080/26939169.2024.2394541
Expanding access and removing barriers: Data science education with the open case studies...	Open Design Case Study-A Crowdsourcing Effort to Curate Software Design Case Studies	https://ieeexplore.ieee.org/abstract/document/10172768/
