website	day	month	year	country	fullPageUrl
OCS main - GA4	01	01	2021	India	www.opencasestudies.org/
OCS main - GA4	01	01	2021	Peru	www.opencasestudies.org/
OCS main - GA4	01	01	2021	United States	www.opencasestudies.org/
OCS main - GA4	01	01	2022	China	www.opencasestudies.org/
OCS main - GA4	01	01	2022	United States	www.opencasestudies.org/
OCS main - GA4	01	01	2023	Brazil	www.opencasestudies.org/
OCS main - GA4	01	01	2023	Indonesia	www.opencasestudies.org/
OCS main - GA4	01	01	2023	Venezuela	www.opencasestudies.org/
OCS main - GA4	01	01	2024	Australia	www.opencasestudies.org/
OCS main - GA4	01	01	2024	China	www.opencasestudies.org/
OCS main - GA4	01	01	2024	Philippines	www.opencasestudies.org/
OCS main - GA4	01	01	2024	Russia	www.opencasestudies.org/
OCS main - GA4	01	01	2024	Singapore	www.opencasestudies.org/
OCS main - GA4	01	01	2024	Türkiye	www.opencasestudies.org/
OCS main - GA4	01	01	2024	United States	www.opencasestudies.org/
OCS main - GA4	01	01	2025	(not set)	www.opencasestudies.org/
OCS main - GA4	01	01	2025	India	www.opencasestudies.org/
OCS main - GA4	01	01	2025	United States	www.opencasestudies.org/
OCS main - GA4	01	01	2025	Yemen	www.opencasestudies.org/
OCS main - GA4	01	02	2021	Australia	www.opencasestudies.org/
OCS main - GA4	01	02	2021	China	www.opencasestudies.org/
OCS main - GA4	01	02	2021	Ecuador	www.opencasestudies.org/
OCS main - GA4	01	02	2021	India	www.opencasestudies.org/
OCS main - GA4	01	02	2021	Indonesia	www.opencasestudies.org/
OCS main - GA4	01	02	2021	Malaysia	www.opencasestudies.org/
OCS main - GA4	01	02	2021	Philippines	www.opencasestudies.org/
OCS main - GA4	01	02	2021	Switzerland	www.opencasestudies.org/
OCS main - GA4	01	02	2021	Turkey	www.opencasestudies.org/
OCS main - GA4	01	02	2021	United Kingdom	www.opencasestudies.org/
OCS main - GA4	01	02	2021	United States	www.opencasestudies.org/
OCS main - GA4	01	02	2022	Albania	www.opencasestudies.org/
OCS main - GA4	01	02	2022	China	www.opencasestudies.org/
OCS main - GA4	01	02	2022	Colombia	www.opencasestudies.org/
