website	linkUrl
OCS main - GA4	
OCS main - GA4	
OCS main - GA4	http://clustrmaps.com/?utm_source=widget&utm_medium=js_widget&utm_campaign=widget_ctr
OCS main - GA4	http://clustrmaps.com/site/1bexa
OCS main - GA4	http://clustrmaps.com/site/1bexa?utm_source=widget&utm_campaign=widget_ctr
OCS main - GA4	http://cs109.github.io/2014/
OCS main - GA4	http://datasciencelabs.github.io/2016/
OCS main - GA4	http://jhir.library.jhu.edu/handle/1774.2/66820
OCS main - GA4	http://rdatasciencecases.org/
OCS main - GA4	https://americanhealth.jhu.edu/2020-bloomberg-american-health-summit
OCS main - GA4	https://amstat.tandfonline.com/doi/abs/10.1080/00031305.2017.1356747
OCS main - GA4	https://docs.google.com/presentation/d/10lRcBMdZ_lzWWCW46t1rThJ1kVm7Ip0Yx3UIdicUEAg/edit?usp=sharing
OCS main - GA4	https://docs.google.com/presentation/d/18jymRcaW2eh6cNmN6HbazaTg8OJFToQ28kvIpeN4CGg/edit?usp=sharing
OCS main - GA4	https://docs.google.com/presentation/d/1GpwNqoEYbDK2xN_u4WoOFJAB9mDBCuOhhXu0NzsBy18/edit?usp=sharing
OCS main - GA4	https://docs.google.com/presentation/d/1emK1ORCmRaJLYDYwWPGhaqNRY2D8cdem_EIFmCmqS00/edit?usp=sharing
OCS main - GA4	https://docs.google.com/presentation/d/1rN1oNZ-On4vuPanktF-HVQcS_Fr3mSqKu6pcxfwsgJI/edit?usp=sharing
OCS main - GA4	https://docs.google.com/presentation/d/1ueWL8XDlifDTsPlAG8lhPx37zzm1YlGKeaNu6gf8CXk/edit?usp=sharing
OCS main - GA4	https://docs.google.com/presentation/d/1wSuRsSwI-uEyiPqtXEW12CBwr5qULK6zO7aPHsUH8T8/edit?usp=sharing
OCS main - GA4	https://docs.google.com/presentation/d/1ydwawEhVnJoIqr4wejmxEcwU5O2ba7SvQq2B_WlR628/edit?usp=sharing
OCS main - GA4	https://gohugo.io/
OCS main - GA4	https://jhu-advdatasci.github.io/2018/
OCS main - GA4	https://leanpub.com/opencasestudies_guide
OCS main - GA4	https://ocsteam.com/academic/
OCS main - GA4	https://opencasestudies.github.io/img/icon.png
OCS main - GA4	https://provost.jhu.edu/about/digital-initiatives/delta-symposium/
OCS main - GA4	https://sourcethemes.com/academic/
OCS main - GA4	https://stat.utexas.edu/
OCS main - GA4	https://translate.google.com/website?sl=en&tl=pt&hl=pt-BR&prev=search&u=http://cs109.github.io/2014/
OCS main - GA4	https://translate.google.com/website?sl=en&tl=pt&hl=pt-BR&prev=search&u=http://rdatasciencecases.org
OCS main - GA4	https://translate.google.com/website?sl=en&tl=pt&hl=pt-BR&prev=search&u=https://www.tandfonline.com/
OCS main - GA4	https://www.apha.org/annualmeeting
OCS main - GA4	https://www.biostat.washington.edu/
OCS main - GA4	https://www.enar.org/
OCS main - GA4	https://www.google.com/url?q=https://www.hsph.harvard.edu/biostatistics/myrto-award/&sa=D&source=doc
OCS main - GA4	https://www.opencasestudies.org/OCS_Guide
OCS main - GA4	https://www.stat.berkeley.edu/users/statlabs/
OCS main - GA4	https://www.tandfonline.com/doi/pdf/10.1080/00031305.2015.1081105
Static case study streams	
Static case study streams	
Static case study streams	http://blog.corynissen.com/2015/01/using-rvest-to-scrape-html-table.html
Static case study streams	http://clustrmaps.com/?utm_source=widget&utm_medium=js_widget&utm_campaign=widget_ctr
Static case study streams	http://clustrmaps.com/site/1bf6o?utm_source=widget&utm_campaign=widget_ctr
Static case study streams	http://clustrmaps.com/site/1bf71?utm_source=widget&utm_campaign=widget_ctr
Static case study streams	http://clustrmaps.com/site/1bfbo?utm_source=widget&utm_campaign=widget_ctr
Static case study streams	http://directlabels.r-forge.r-project.org/docs/index.html
Static case study streams	http://docs.statwing.com/interpreting-residual-plots-to-improve-your-regression/
Static case study streams	http://dx.doi.org/10.15585/mmwr.mm6802a1
Static case study streams	http://flukeout.github.io/
Static case study streams	http://ggplot2.tidyverse.org/
Static case study streams	http://homepage.divms.uiowa.edu/~mbognar/applets/chisq.html
Static case study streams	http://moralmachine.mit.edu/
Static case study streams	http://ocw.jhsph.edu/courses/StatMethodsForSampleSurveys/PDFs/Lecture5.pdf
Static case study streams	http://onlinestatbook.com/2/advanced_graphs/q-q_plots.html
Static case study streams	http://onlinestatbook.com/2/estimation/difference_means.html
Static case study streams	http://onlinestatbook.com/2/introduction/distributions.html
Static case study streams	http://r-survey.r-forge.r-project.org/survey/html/surveyoptions.html
Static case study streams	http://research.libd.org/rstatsclub/post/introduction-to-scraping-and-wranging-tables-from-research-
Static case study streams	http://rfunction.com/archives/1499
Static case study streams	http://setosa.io/ev/ordinary-least-squares-regression/
Static case study streams	http://tylervigen.com/spurious-correlations
Static case study streams	http://vita.had.co.nz/papers/layered-grammar.html
Static case study streams	http://wiki.stat.ucla.edu/socr/index.php/AP_Statistics_Curriculum_2007_NonParam_VarIndep
Static case study streams	http://www.applied-survey-methods.com/weight.html
Static case study streams	http://www.asasrms.org/Proceedings/y2008/Files/301835.pdf
Static case study streams	http://www.biostat.jhsph.edu/~rpeng/
Static case study streams	http://www.biostathandbook.com/wilcoxonsignedrank.html
Static case study streams	http://www.healthdata.org/about
Static case study streams	http://www.healthdata.org/about/erin-mullany
Static case study streams	http://www.healthdata.org/gbd
Static case study streams	http://www.montefiore.ulg.ac.be/~kvansteen/GBIO0009-1/ac20092010/Class8/Using%20R%20for%20linear%20r
Static case study streams	http://www.ncdrisc.org/downloads/bmi/NCD_RisC_Lancet_2017_BMI_age_standardised_world.csv
Static case study streams	http://www.princeton.edu/~otorres/Panel101R.pdf
Static case study streams	http://www.rebeccabarter.com/blog/2019-06-06_pre_processing/
Static case study streams	http://www.redlogenv.com/worker-safety/part-1-dust-and-particulate-matter
Static case study streams	http://www.ucd.ie/ecomodel/Resources/QQplots_WebVersion.html
Static case study streams	https://academic.oup.com/ije/article/48/5/1650/5366210
Static case study streams	https://acclab.github.io/bootstrap-confidence-intervals.html
Static case study streams	https://adv-r.hadley.nz/quasiquotation.html
Static case study streams	https://americanhealth.jhu.edu/
Static case study streams	https://americanhealth.jhu.edu/open-case-studies
Static case study streams	https://apps.who.int/iris/bitstream/handle/10665/254610/WHO-MSD-MER-2017.2-eng.pdf;jsessionid=E44360
Static case study streams	https://aqicn.org/city/usa/
Static case study streams	https://arcos-api.ext.nile.works/__swagger__/
Static case study streams	https://bcheggeseth.github.io/Stat155Notes/two-quantitative-variables.html
Static case study streams	https://beta.rstudioconnect.com/jjallaire/htmlwidgets-highcharter/
Static case study streams	https://bioethics.jhu.edu/people/profile/jessica-fanzo/
Static case study streams	https://blog.clairvoyantsoft.com/correlation-and-collinearity-how-they-can-make-or-break-a-model-913
Static case study streams	https://bookdown.org/yihui/rmarkdown/
Static case study streams	https://boostedml.com/2019/03/linear-regression-plots-scale-location-plot.html
Static case study streams	https://cdiac.ess-dive.lbl.gov/
Static case study streams	https://chicagounbound.uchicago.edu/cgi/viewcontent.cgi?article=1150&context=law_and_economics
Static case study streams	https://cloud.google.com/maps-platform/
Static case study streams	https://content.apa.org/record/2019-12578-001
Static case study streams	https://cran.r-project.org/
Static case study streams	https://cran.r-project.org/package=arcos
Static case study streams	https://cran.r-project.org/web/packages/GGally/GGally.pdf
Static case study streams	https://cran.r-project.org/web/packages/Hmisc/Hmisc.pdf
Static case study streams	https://cran.r-project.org/web/packages/corrplot/vignettes/corrplot-intro.html
Static case study streams	https://cran.r-project.org/web/packages/cowplot/vignettes/introduction.html
Static case study streams	https://cran.r-project.org/web/packages/ggforce/ggforce.pdf
Static case study streams	https://cran.r-project.org/web/packages/ggiraph/ggiraph.pdf
Static case study streams	https://cran.r-project.org/web/packages/ggmap/ggmap.pdf
Static case study streams	https://cran.r-project.org/web/packages/ggpol/ggpol.pdf
Static case study streams	https://cran.r-project.org/web/packages/ggrepel/vignettes/ggrepel.html
Static case study streams	https://cran.r-project.org/web/packages/ggthemes/ggthemes.pdf
Static case study streams	https://cran.r-project.org/web/packages/jsonlite/jsonlite.pdf
Static case study streams	https://cran.r-project.org/web/packages/lme4/lme4.pdf
Static case study streams	https://cran.r-project.org/web/packages/lmerTest/lmerTest.pdf
Static case study streams	https://cran.r-project.org/web/packages/lwgeom/lwgeom.pdf
Static case study streams	https://cran.r-project.org/web/packages/magick/vignettes/intro.html
Static case study streams	https://cran.r-project.org/web/packages/magrittr/vignettes/magrittr.html
Static case study streams	https://cran.r-project.org/web/packages/maps/maps.pdf
Static case study streams	https://cran.r-project.org/web/packages/naniar/vignettes/getting-started-w-naniar.html
Static case study streams	https://cran.r-project.org/web/packages/patchwork/patchwork.pdf
Static case study streams	https://cran.r-project.org/web/packages/pdftools/pdftools.pdf
Static case study streams	https://cran.r-project.org/web/packages/plm/vignettes/plmPackage.html
Static case study streams	https://cran.r-project.org/web/packages/poliscidata/poliscidata.pdf
Static case study streams	https://cran.r-project.org/web/packages/randomForest/randomForest.pdf
Static case study streams	https://cran.r-project.org/web/packages/ranger/ranger.pdf
Static case study streams	https://cran.r-project.org/web/packages/rnaturalearth/README.html
Static case study streams	https://cran.r-project.org/web/packages/rstatix/rstatix.pdf
Static case study streams	https://cran.r-project.org/web/packages/rvest/vignettes/selectorgadget.html
Static case study streams	https://cran.r-project.org/web/packages/scales/scales.pdf
Static case study streams	https://cran.r-project.org/web/packages/skimr/index.html
Static case study streams	https://cran.r-project.org/web/packages/srvyr/srvyr.pdf
Static case study streams	https://cran.r-project.org/web/packages/stringr/vignettes/regular-expressions.html
Static case study streams	https://cran.r-project.org/web/packages/usdata/usdata.pdf
